sys_updated_at,name,source,source_url,standard_province,standard_prefecture,standard_county,address,x,y,confirmed
2020-02-05 15:20:34.801882+08,南联路91号,腾讯看点,https://ncov.html5.qq.com/community,广东省,珠海市,香洲区,广东省珠海市香洲区湾仔街道南联路91号,113.527088,22.205164,1
2020-02-05 15:22:52.061205+08,汉庭酒店,腾讯看点,https://ncov.html5.qq.com/community,广东省,深圳市,宝安区,广东省深圳市罗湖区中兴路88号汉庭酒店,113.888957,22.575788,-1
2020-02-05 15:16:57.904188+08,澄湖左岸小区,腾讯看点,https://ncov.html5.qq.com/community,江西省,南昌市,南昌县,江西省南昌市南昌县莲塘镇澄湖左岸小区,115.930381,28.545289,1
2020-02-05 15:45:58.568176+08,观湖街道观壹城,深圳卫健委  ,https://mp.weixin.qq.com/s/e-amp6o98SLDq_lWixvHXQ,广东省,深圳市,龙华区,广东省深圳龙华区观湖街道观壹城,114.068311,22.715989,-1
2020-02-05 14:54:25.995948+08,清升镇,腾讯看点,https://ncov.html5.qq.com/community,重庆市,重庆市,荣昌区,重庆市荣昌区清升镇,105.620868,29.397618,1
2020-02-05 15:40:21.535989+08,黄阁镇万科南方公元,广州市卫健委,http://wjw.gz.gov.cn/ztzl/xxfyyqfk/yqtb/content/post_5649287.html,广东省,广州市,南沙区,广东省广州南沙区黄阁镇万科南方公元,113.501494,22.805833,-1
2020-02-05 15:11:48.197041+08,马超饭店,腾讯看点,https://ncov.html5.qq.com/community,河北省,沧州市,黄骅市,河北省沧州市献县马超饭店,117.755166,38.276138,2
2020-02-05 15:46:08.324754+08,上步中路盛夏公寓,南方都市报,https://mp.weixin.qq.com/s/KkYpkD4oV997_ZPNRa0vHg,广东省,深圳市,罗湖区,广东省深圳福田区上步中路盛夏公寓,114.109125,22.549044,-1
2020-02-05 15:40:18.528729+08,黄阁镇璧珑湾,广州市卫健委,http://wjw.gz.gov.cn/ztzl/xxfyyqfk/yqtb/content/post_5649287.html,广东省,广州市,南沙区,广东省广州南沙区黄阁镇璧珑湾,113.52975,22.799896,-1
2020-02-05 15:10:36.329937+08,金牛山街道,腾讯看点,https://ncov.html5.qq.com/community,河南省,信阳市,浉河区,河南省信阳市浉河区金牛山街道,114.057894,32.163999,2
2020-02-05 15:50:08.528849+08,凯茵新城,中山发布,https://mp.weixin.qq.com/s/Uy1EArC6gmMvEI14mRisUQ,广东省,中山市,,广东省中山火炬区开发区凯茵新城,113.459727,22.506578,-1
2020-02-05 15:44:59.892237+08,泥岗西路自来水公司大院,深圳大件事,https://mp.weixin.qq.com/s/AZnrdhDgVfn97M0c70VsPQ,广东省,深圳市,罗湖区,广东省深圳罗湖区泥岗西路自来水公司大院,114.101647,22.567775,-1
